X Y
792.1736654922 0.0328741591
683.0403727926 0.0282334109
600.7351671644 0.024740822
536.4093309854 0.0220172034
484.7270906081 0.0198337814
442.2779897537 0.0180443436
406.7794262232 0.016551077
376.6454972712 0.0152860722
350.7397216483 0.014200707
328.2261778067 0.0132592532
308.4761804842 0.0124348679
291.0077241496 0.0117069933
275.4450057911 0.0110596189
261.4906619131 0.0104800899
248.9062895948 0.009958272
237.4985027083 0.0094859534
227.1087701349 0.00905641
217.6058902343 0.0086640826
208.8803362274 0.0083043354
200.8399510867 0.0079732717
193.406630318 0.0076675927
186.5137377268 0.0073844866
180.1040717974 0.0071215419
174.1282504167 0.0068766791
168.5434167982 0.006648095
163.3121944284 0.0064342186
158.4018368282 0.0062336744
153.7835310055 0.0060452537
149.4318231124 0.0058678893
145.324141986 0.0057006358
141.4404016348 0.0055426526
137.7626678071 0.0053931897
134.2748768979 0.005251576
130.9625978447 0.0051172089
127.8128295288 0.0049895462
124.8138276483 0.0048680982
121.9549561781 0.0047524219
119.2265594319 0.0046421154
116.6198514669 0.0045368134
114.1268201469 0.0044361827
111.740143643 0.0043399193
109.4531175312 0.004247745
107.2595909473 0.0041594045
105.1539105128 0.0040746637
103.1308709499 0.0039933068
101.1856714699 0.0039151351
99.3138771656 0.0038399652
97.5113847459 0.0037676274
95.7743920559 0.0036979646
94.0993709017 0.0036308312
92.483042769 0.0035660918
90.9223570821 0.0035036206
89.4144716989 0.0034433005
87.9567353765 0.0033850223
86.5466719804 0.0033286839
